Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Referee
2001/02,29/12/01,Aston Villa,Tottenham,1,1,D,0,1,A,12,7,7,4,12,10,12,1,0,3,0,0,"Wolstenholme, E. K."
2001/02,29/12/01,Blackburn,Derby,0,1,A,0,1,A,16,7,5,5,13,20,13,4,2,4,0,0,"Pugh, D."
2001/02,29/12/01,Bolton,Leicester,2,2,D,1,2,A,5,14,3,8,11,15,4,10,2,3,2,1,"Riley, M. A."
2001/02,29/12/01,Everton,Charlton,0,3,A,0,1,A,7,8,3,4,16,12,3,6,1,3,0,0,"Barber, G. P."
2001/02,29/12/01,Ipswich,Sunderland,5,0,H,4,0,H,13,10,8,3,6,4,3,3,1,1,0,0,"Poll, G."
2001/02,29/12/01,Newcastle,Chelsea,1,2,A,1,2,A,10,12,7,8,11,21,5,3,0,3,0,0,"Bennett, S. G."
2001/02,29/12/01,Southampton,Leeds,0,1,A,0,0,D,12,13,6,7,17,15,3,5,1,1,0,0,"Halsey, M. R."
2001/02,29/12/01,West Ham,Liverpool,1,1,D,1,0,H,17,12,8,8,5,8,9,5,1,0,0,0,"Styles, R."
2001/02,30/12/01,Fulham,Man United,2,3,A,1,2,A,17,19,9,10,14,8,4,3,0,2,0,0,"Gallagher, D. J."
2001/02,01/01/02,Charlton,Ipswich,3,2,H,2,2,D,13,6,8,4,19,12,11,4,2,2,0,0,"Rennie, U. D."
